generator	FFtype	Tstart	Tend	fitParams1	fitParams2	fitParams3	fitParams4	fitParams5
1			2		0		2015	-5			10			0			100			0
2			6		20		2015	-10			-2			1			1			0.16111
2			6		20		2015	-2			0			1			1			0.044477
2			6		20		2015	0			5			1			1			0.052588
2			6		20		2015	5			30			1			1			0.088903
2			6		20		2015	30			70			1			1			0.084594
2			2		20		140		-5			10			0			0.0067154			0
2			2		140		2015	-5			10			0			0.031538			0
3			2		20		140		-5			10			0			0.0061465			0
3			2		140		2015	-5			10			0			0.0098714			0
4			2		20		140		-5			10			0			0.0058221			0
4			2		140		2015	-5			10			0			0.010393			0
5			6		20		60		-2			0			1			1			0.041611
5			6		20		60		0			3			1			1			0.046798
5			6		20		60		3			7			1			1			0.06951
5			6		60		2015	-3			0			1			1			0.060675
5			6		60		2015	0			6			1			1			0.093451
5			6		60		2015	6			11			1			1			0.10311
5			2		20		140		-5			10			0			0.0054118			0
5			2		140		2015	-5			10			0			0.010046			0
